age,income,account_balance,transaction_count,gender,occupation,region
40.0,53643.6,18215.05,14,F,doctor,west
33.6,53198.79,21945.01,21,M,doctor,north
41.5,33065.35,19026.19,20,F,engineer,north
50.2,55048.65,26104.18,12,M,engineer,east
32.7,70992.44,36971.79,14,F,engineer,south
32.7,40886.52,17289.58,14,F,teacher,south
50.8,75727.24,35008.2,7,M,manager,west
42.7,67316.62,17183.28,18,F,teacher,north
30.3,48986.5,16523.73,18,F,engineer,east
40.4,57877.06,33185.95,10,M,teacher,east
30.4,83974.83,34219.36,18,M,engineer,west
30.3,71003.22,33514.1,13,F,manager,west
37.4,60131.75,11842.03,14,M,engineer,south
15.9,56434.75,20340.49,13,F,teacher,east
17.8,61149.14,33229.89,11,M,manager,east
29.4,52323.55,25415.42,10,M,engineer,south
24.9,28428.76,14263.07,22,M,engineer,north
38.1,90632.67,29583.18,22,F,doctor,west
25.9,62329.87,17851.93,13,F,engineer,south
20.9,65972.21,42945.25,17,F,doctor,north
49.7,59131.38,40448.41,22,M,manager,west
32.7,48973.25,31040.97,17,F,teacher,east
35.7,57211.13,38610.07,11,F,teacher,north
20.8,36009.08,25647.91,15,M,student,north
29.6,94156.3,32654.37,11,M,teacher,south
36.1,41482.32,39777.2,14,F,student,west
23.5,44520.51,27454.99,10,F,engineer,west
38.8,53396.11,22448.13,17,F,manager,south
29.0,79321.14,7953.78,16,F,manager,west
32.1,60217.63,24168.66,21,F,student,south
29.0,41457.96,33234.23,6,M,engineer,east
53.5,78815.08,34456.33,8,F,engineer,south
34.9,70965.01,30043.65,14,F,engineer,east
24.4,68076.52,19587.01,11,F,student,south
43.2,70736.01,5231.78,13,M,teacher,north
22.8,95915.43,20047.85,14,M,student,north
37.1,92776.42,21956.55,23,F,engineer,south
15.4,49699.27,21870.71,15,F,engineer,west
21.7,84358.27,31185.56,22,F,engineer,west
37.0,65747.52,44856.76,10,F,doctor,west
42.4,67486.44,26235.29,16,M,manager,north
36.7,34615.94,22832.68,17,F,teacher,south
33.8,57444.21,22407.78,9,F,student,south
32.0,47807.65,26243.85,22,F,engineer,south
20.2,72420.88,16717.06,16,M,manager,north
27.8,76066.21,26201.99,14,M,manager,east
30.4,28882.7,29508.12,13,M,engineer,north
45.6,59669.48,27096.86,15,M,engineer,west
38.4,76827.92,29575.42,15,M,teacher,east
17.4,57199.82,29337.48,13,F,engineer,south
38.2,70935.95,7281.03,12,M,student,east
31.1,65267.48,31368.7,16,F,student,north
28.2,65124.9,18289.85,10,F,manager,south
41.1,55930.28,14041.61,19,F,manager,south
45.3,41751.29,13955.48,22,M,engineer,east
44.3,43177.05,29335.42,12,M,engineer,north
26.6,70640.29,22774.25,13,M,manager,east
31.9,60291.87,8180.31,13,F,doctor,north
38.3,57922.32,29780.38,12,F,manager,south
44.8,53641.65,10603.92,17,M,manager,north
30.2,55422.17,26398.21,10,M,teacher,east
33.1,75703.68,27384.99,15,M,engineer,east
23.9,54971.34,33855.77,9,F,manager,east
23.0,39884.03,42816.85,24,F,teacher,north
43.1,71154.78,11353.24,12,M,manager,north
48.6,56926.85,24475.26,10,F,teacher,east
34.3,60470.94,22236.65,17,F,engineer,north
45.0,84113.67,29337.5,16,M,engineer,north
38.6,59691.59,27156.69,8,F,manager,south
28.5,64337.76,21474.54,12,F,doctor,east
38.6,42316.15,20590.98,11,F,teacher,east
50.4,56704.96,13835.49,15,M,teacher,north
34.6,69142.89,34878.62,18,F,doctor,east
50.6,36669.39,29592.04,19,F,engineer,east
8.8,63012.68,34177.68,19,M,teacher,south
43.2,61511.87,21896.04,11,M,engineer,north
35.9,60619.31,18431.65,15,F,teacher,east
32.0,75557.38,14216.85,11,F,doctor,east
35.9,65016.58,28589.18,15,F,engineer,north
15.1,82171.08,14602.07,20,M,teacher,east
32.8,45096.16,43486.63,14,M,teacher,south
38.6,62038.87,11923.57,14,F,engineer,east
49.8,61267.0,27736.6,17,M,student,north
29.8,43961.18,40668.55,15,M,engineer,south
26.9,74344.43,30990.9,20,M,doctor,east
30.0,94870.1,26756.74,16,M,engineer,south
44.2,59744.91,15315.16,12,M,manager,south
38.3,67575.32,11182.31,15,M,student,east
29.7,61267.78,32700.5,11,F,teacher,east
40.1,49296.23,40061.47,13,F,manager,east
36.0,32688.6,20611.5,13,F,engineer,north
44.7,49413.4,13609.38,18,M,engineer,east
28.0,39120.62,418.31,15,F,teacher,south
31.7,85561.53,15192.35,17,F,teacher,north
31.1,58273.35,23863.43,15,M,teacher,north
20.4,54811.21,40991.23,20,F,teacher,north
38.0,73337.31,31731.34,24,F,teacher,south
37.6,43173.73,28050.85,19,F,manager,south
35.1,48497.04,20998.8,13,F,engineer,west
32.7,61021.08,19168.34,10,M,engineer,west
20.8,75431.53,39056.48,20,F,teacher,west
30.8,67525.28,27007.39,10,M,teacher,east
31.6,63724.88,3973.99,11,M,engineer,west
27.0,61171.77,18264.6,21,F,engineer,south
33.4,66003.54,16417.84,17,M,doctor,east
39.0,63024.79,19537.36,6,M,engineer,south
53.9,44550.42,30629.11,14,M,student,north
36.7,60691.19,23925.55,22,M,engineer,north
37.6,43894.67,24231.35,6,F,engineer,east
34.3,61216.24,38134.73,16,F,teacher,north
15.8,52790.28,18035.39,17,M,student,east
34.7,98090.72,43642.0,20,M,doctor,west
35.6,59401.58,18286.92,24,M,teacher,north
59.6,38936.41,25891.98,15,M,engineer,south
33.1,57987.3,22187.96,13,F,teacher,east
38.0,67790.38,26234.19,18,M,engineer,south
34.7,85100.46,29445.92,18,F,doctor,west
23.3,51158.21,29338.35,13,M,doctor,west
46.4,36263.58,17468.83,21,M,engineer,north
42.5,72252.56,13770.85,19,M,engineer,north
42.9,39291.02,50031.72,11,F,manager,west
25.9,53457.67,20160.16,14,F,doctor,west
49.0,56135.69,31992.12,14,F,manager,south
21.0,58955.5,8923.59,8,M,engineer,north
40.9,70337.47,22203.87,9,F,manager,east
56.9,49745.49,23728.01,15,M,engineer,south
25.1,55894.06,29728.15,16,M,engineer,west
29.3,59785.94,-2224.54,11,F,manager,east
36.0,62243.97,26661.41,11,M,manager,east
30.0,61467.41,13502.59,4,F,teacher,south
19.5,66540.09,28243.46,8,M,manager,east
35.7,72657.59,14636.71,13,M,manager,south
24.4,65889.51,16445.17,18,M,teacher,north
39.7,66803.78,22263.72,13,M,student,east
25.8,36266.65,14476.71,24,M,doctor,south
50.5,60753.42,20244.66,18,F,doctor,east
27.2,67192.61,13066.24,13,M,teacher,west
31.8,70934.12,6668.3,17,M,teacher,south
43.1,49614.74,35179.57,18,F,manager,south
22.7,50114.41,12039.51,12,F,engineer,south
37.3,51388.49,23213.19,16,M,engineer,south
48.1,68046.21,32528.91,21,F,student,east
18.9,75508.22,18850.56,14,M,manager,east
36.8,53888.1,16748.34,14,F,teacher,west
37.6,73619.43,27262.38,10,F,engineer,east
42.8,61852.2,36179.34,13,M,manager,north
22.6,58135.71,13306.85,18,F,engineer,north
21.8,56829.24,23498.52,16,M,teacher,south
40.2,71199.17,7675.05,18,M,engineer,south
38.0,64883.67,21067.99,10,M,doctor,south
37.5,94137.38,25342.05,15,F,engineer,north
38.5,47216.63,16453.75,16,M,doctor,west
28.2,67771.53,20430.08,15,F,manager,north
37.3,52061.98,10917.73,15,M,teacher,east
37.9,46960.7,25770.79,11,F,engineer,north
27.9,59836.99,35556.94,22,F,engineer,south
53.7,62060.29,14028.56,20,F,teacher,south
39.7,103772.6,18773.28,15,F,teacher,south
23.1,57237.81,30025.46,13,M,doctor,south
41.6,43047.32,37120.91,23,M,engineer,east
25.3,64095.16,10068.1,13,M,manager,east
42.9,28880.4,23312.15,14,M,manager,east
46.6,58620.65,27831.31,14,F,teacher,west
26.8,60240.38,23979.44,15,M,teacher,west
44.6,71919.01,232.08,10,F,manager,east
39.1,74604.33,30010.9,12,F,manager,north
43.2,52446.46,40193.36,22,M,student,west
54.0,57740.79,26166.62,11,M,teacher,west
32.5,48508.19,14688.94,14,M,student,east
27.5,43079.06,19868.73,14,M,engineer,east
26.1,64648.42,42699.13,16,M,teacher,south
26.8,40896.22,34099.63,8,F,teacher,east
34.2,53780.6,31400.27,12,M,teacher,west
38.4,45072.39,28564.13,13,M,doctor,east
37.8,68245.25,18388.63,18,M,engineer,east
43.3,87021.45,22994.29,20,F,student,north
35.1,40476.18,24220.77,20,M,doctor,south
49.5,32204.72,30495.74,14,F,student,east
32.4,58126.7,40089.19,10,F,engineer,north
62.2,60235.47,36183.38,13,F,doctor,east
41.3,63279.89,10806.16,10,M,teacher,east
26.4,53305.19,27239.95,13,F,doctor,south
24.3,56990.41,32367.63,12,F,manager,north
