age,income,account_balance,transaction_count,gender,occupation,region,timestamp
61.2,33388.45,28000.05,8,F,teacher,west,2026-05-22 04:37:58.416996
59.2,90255.34,26094.54,17,F,doctor,east,2026-05-22 04:37:58.416996
73.7,49782.05,8520.15,10,F,teacher,north,2026-05-22 04:37:58.416996
29.6,67200.92,13985.88,13,F,manager,north,2026-05-22 04:37:58.416996
32.5,58542.04,17717.91,9,F,teacher,south,2026-05-22 04:37:58.416996
36.1,46079.16,24600.07,11,F,doctor,south,2026-05-22 04:37:58.416996
35.7,45316.79,26220.06,11,F,manager,south,2026-05-22 04:37:58.416996
43.5,30103.75,21628.85,10,M,manager,south,2026-05-22 04:37:58.416996
36.1,75203.66,24260.71,12,M,doctor,north,2026-05-22 04:37:58.416996
27.7,52830.45,29913.4,19,F,teacher,south,2026-05-22 04:37:58.416996
31.5,80732.32,29359.16,9,F,engineer,east,2026-05-22 04:37:58.416996
38.5,46922.18,40411.68,12,M,engineer,west,2026-05-22 04:37:58.416996
55.7,49635.63,34517.63,13,F,student,north,2026-05-22 04:37:58.416996
35.1,34601.25,22213.5,12,M,engineer,south,2026-05-22 04:37:58.416996
51.7,49394.07,29688.18,16,F,teacher,south,2026-05-22 04:37:58.416996
26.1,32677.86,27085.88,14,F,manager,south,2026-05-22 04:37:58.416996
3.6,62247.91,23972.88,13,F,manager,south,2026-05-22 04:37:58.416996
40.4,56940.57,11576.82,13,F,manager,north,2026-05-22 04:37:58.416996
34.7,81547.77,23947.07,15,M,manager,west,2026-05-22 04:37:58.416996
31.4,28760.4,-2782.98,17,F,student,east,2026-05-22 04:37:58.416996
30.0,76888.03,34867.9,12,M,engineer,south,2026-05-22 04:37:58.416996
33.5,37388.01,26204.17,11,M,teacher,south,2026-05-22 04:37:58.416996
30.2,61196.17,20089.78,7,M,student,east,2026-05-22 04:37:58.416996
31.2,34382.11,16951.38,8,M,teacher,east,2026-05-22 04:37:58.416996
25.7,58649.93,29854.03,8,M,student,south,2026-05-22 04:37:58.416996
16.4,9809.27,44050.17,15,M,engineer,south,2026-05-22 04:37:58.416996
15.5,42929.53,26500.96,13,F,doctor,south,2026-05-22 04:37:58.416996
71.5,56909.78,44826.97,16,M,student,north,2026-05-22 04:37:58.416996
41.2,86598.04,31412.25,6,F,teacher,south,2026-05-22 04:37:58.416996
60.3,16695.74,12335.17,10,F,student,east,2026-05-22 04:37:58.416996
39.9,54959.0,27852.75,10,F,engineer,east,2026-05-22 04:37:58.416996
40.3,45662.6,26680.82,11,F,engineer,south,2026-05-22 04:37:58.416996
45.7,20511.05,12328.09,13,M,teacher,west,2026-05-22 04:37:58.416996
49.7,34753.09,17107.28,13,M,engineer,east,2026-05-22 04:37:58.416996
27.0,46520.01,16869.4,17,F,engineer,west,2026-05-22 04:37:58.416996
37.4,63407.38,23202.71,9,M,teacher,west,2026-05-22 04:37:58.416996
45.7,56582.17,18639.53,14,M,teacher,west,2026-05-22 04:37:58.416996
18.8,31375.29,25224.0,7,F,teacher,south,2026-05-22 04:37:58.416996
57.6,21987.37,27168.24,17,M,student,south,2026-05-22 04:37:58.416996
54.8,62517.68,37212.02,12,M,student,north,2026-05-22 04:37:58.416996
16.8,51485.19,28589.68,11,F,manager,south,2026-05-22 04:37:58.416996
31.5,84005.64,13576.71,14,M,manager,south,2026-05-22 04:37:58.416996
43.3,48653.99,47333.23,18,M,engineer,north,2026-05-22 04:37:58.416996
52.1,75578.16,13654.39,8,M,manager,west,2026-05-22 04:37:58.416996
60.3,64789.09,17348.89,12,M,engineer,east,2026-05-22 04:37:58.416996
34.4,69788.93,29169.95,12,F,teacher,west,2026-05-22 04:37:58.416996
70.1,62783.42,56743.6,11,F,teacher,south,2026-05-22 04:37:58.416996
41.4,63177.97,26819.03,13,F,manager,south,2026-05-22 04:37:58.416996
39.3,13746.57,14301.02,17,M,manager,south,2026-05-22 04:37:58.416996
48.7,50735.57,2328.08,12,M,teacher,south,2026-05-22 04:37:58.416996
45.7,43054.87,1530.11,9,F,engineer,south,2026-05-22 04:37:58.416996
45.1,77871.77,22131.5,12,M,engineer,west,2026-05-22 04:37:58.416996
66.0,36969.86,28536.95,14,F,student,north,2026-05-22 04:37:58.416996
45.0,49954.95,4962.24,10,M,teacher,north,2026-05-22 04:37:58.416996
30.2,69415.58,24663.67,13,F,engineer,north,2026-05-22 04:37:58.416996
31.9,60417.38,6237.14,10,F,engineer,west,2026-05-22 04:37:58.416996
59.7,58011.53,10907.14,9,M,doctor,east,2026-05-22 04:37:58.416996
50.2,74965.54,29580.98,15,M,engineer,east,2026-05-22 04:37:58.416996
23.3,59681.5,13028.48,17,F,teacher,south,2026-05-22 04:37:58.416996
22.7,45191.18,37720.98,8,F,doctor,east,2026-05-22 04:37:58.416996
42.3,31667.15,14987.46,13,M,engineer,east,2026-05-22 04:37:58.416996
49.4,63760.63,35313.3,12,M,engineer,south,2026-05-22 04:37:58.416996
